,movie,title,genreName,grossNum,adjustedGross,grossUnit,duration,pubDate,pubMonth,pubYear
609,http://www.wikidata.org/entity/Q874496,The Poseidon Adventure,action,125000000.0,904914705.882353,http://www.wikidata.org/entity/Q4917,112.0,1972-12-13T00:00:00Z,12,1972
610,http://www.wikidata.org/entity/Q46551,The Prestige,fantasy,109676311.0,167216156.0043657,http://www.wikidata.org/entity/Q4917,125.0,2006-10-17T00:00:00Z,10,2006
611,http://www.wikidata.org/entity/Q506418,The Princess Bride,fantasy,30902442.0,82676393.32679999,http://www.wikidata.org/entity/Q4917,94.0,1987-09-25T00:00:00Z,9,1987
612,http://www.wikidata.org/entity/Q212804,The Ring,горор; Horror,249348933.0,423151878.46135134,http://www.wikidata.org/entity/Q4917,116.0,2002-10-02T00:00:00Z,10,2002
613,http://www.wikidata.org/entity/Q866358,The Road to El Dorado,fantasy,76432727.0,137360593.1589778,http://www.wikidata.org/entity/Q4917,90.0,2000-03-31T00:00:00Z,3,2000
614,http://www.wikidata.org/entity/Q216720,The Rock,action,335100000.0,657948641.3529037,http://www.wikidata.org/entity/Q4917,127.0,1996-06-07T00:00:00Z,6,1996
615,http://www.wikidata.org/entity/Q109355923,The Roundup,action,101706187.0,107056012.60529396,http://www.wikidata.org/entity/Q4917,106.0,2022-05-18T00:00:00Z,5,2022
616,http://www.wikidata.org/entity/Q3522637,The Secret Life of Walter Mitty,fantasy,188133322.0,247844824.2019217,http://www.wikidata.org/entity/Q4917,114.0,2013-10-05T00:00:00Z,10,2013
617,http://www.wikidata.org/entity/Q1546938,The Shadow,action,48063435.0,99647743.32806602,http://www.wikidata.org/entity/Q4917,108.0,1994-07-01T00:00:00Z,7,1994
618,http://www.wikidata.org/entity/Q186341,The Shining,Horror; горор,47299460.0,177905527.5997555,http://www.wikidata.org/entity/Q4917,144.0,1980-05-23T00:00:00Z,5,1980
619,http://www.wikidata.org/entity/Q133654,The Silence of the Lambs,Horror; горор,272742922.0,623440472.1743091,http://www.wikidata.org/entity/Q4917,118.0,1991-01-30T00:00:00Z,1,1991
620,http://www.wikidata.org/entity/Q183063,The Sixth Sense,Horror; горор,672806292.0,1238797035.7027647,http://www.wikidata.org/entity/Q4917,107.0,1999-08-02T00:00:00Z,8,1999
621,http://www.wikidata.org/entity/Q57317060,The Suicide Squad,action; sci-fi; илмӣ-тахаюллӣ,168717425.0,190142448.497544,http://www.wikidata.org/entity/Q4917,132.0,2021-07-30T00:00:00Z,7,2021
622,http://www.wikidata.org/entity/Q162255,The Terminator,action; sci-fi; илмӣ-тахаюллӣ,78371200.0,228989035.85185185,http://www.wikidata.org/entity/Q4917,108.0,1984-10-26T00:00:00Z,10,1984
623,http://www.wikidata.org/entity/Q886597,The Texas Chain Saw Massacre,Horror; горор,30860378.0,185809067.70328766,http://www.wikidata.org/entity/Q4917,83.0,1974-10-01T00:00:00Z,10,1974
624,http://www.wikidata.org/entity/Q210756,The Thing,Horror; горор; sci-fi; илмӣ-тахаюллӣ,19632053.0,62270241.01611341,http://www.wikidata.org/entity/Q4917,108.0,1982-06-25T00:00:00Z,6,1982
625,http://www.wikidata.org/entity/Q1217787,The Time Machine,sci-fi; илмӣ-тахаюллӣ,2610000.0,27221061.355932202,http://www.wikidata.org/entity/Q4917,99.0,1960-05-25T00:00:00Z,5,1960
626,http://www.wikidata.org/entity/Q629975,The Tourist,action,278300000.0,390661693.41040885,http://www.wikidata.org/entity/Q4917,103.0,2010-12-08T00:00:00Z,12,2010
627,http://www.wikidata.org/entity/Q372959,The Towering Inferno,action,203300000.0,1205192953.7572255,http://www.wikidata.org/entity/Q4917,158.0,1974-12-14T00:00:00Z,12,1974
628,http://www.wikidata.org/entity/Q3821776,The Town That Dreaded Sundown,горор; Horror,5000000.0,26432216.49484536,http://www.wikidata.org/entity/Q4917,90.0,1976-12-24T00:00:00Z,12,1976
629,http://www.wikidata.org/entity/Q60506,The Twilight Saga: Breaking Dawn – Part 1,fantasy,712205856.0,967777228.7966928,http://www.wikidata.org/entity/Q4917,117.0,2011-10-30T00:00:00Z,10,2011
630,http://www.wikidata.org/entity/Q60487,The Twilight Saga: Breaking Dawn – Part 2,fantasy,829746820.0,1108886825.5120947,http://www.wikidata.org/entity/Q4917,116.0,2012-11-14T00:00:00Z,11,2012
631,http://www.wikidata.org/entity/Q217010,The Twilight Saga: Eclipse,fantasy,698491347.0,985963485.9855343,http://www.wikidata.org/entity/Q4917,124.0,2010-06-24T00:00:00Z,6,2010
632,http://www.wikidata.org/entity/Q116928,The Twilight Saga: New Moon,fantasy; action; Horror; горор,711020081.0,1011234037.5414921,http://www.wikidata.org/entity/Q4917,131.0,2009-11-16T00:00:00Z,11,2009
633,http://www.wikidata.org/entity/Q87220566,The Unbearable Weight of Massive Talent,action,29116320.0,30985708.8181966,http://www.wikidata.org/entity/Q4917,107.0,2022-04-20T00:00:00Z,4,2022
634,http://www.wikidata.org/entity/Q465227,The Village,горор; Horror,256700000.0,416996545.406547,http://www.wikidata.org/entity/Q4917,108.0,2004-07-26T00:00:00Z,7,2004
635,http://www.wikidata.org/entity/Q22972803,The Wailing,Horror; горор,51539562.0,66008802.35151459,http://www.wikidata.org/entity/Q4917,156.0,2016-05-11T00:00:00Z,5,2016
636,http://www.wikidata.org/entity/Q17183895,The Walk,action,61181942.0,79110337.58676164,http://www.wikidata.org/entity/Q4917,123.0,2015-09-30T00:00:00Z,9,2015
637,http://www.wikidata.org/entity/Q57966215,The Wandering Earth,sci-fi; илмӣ-тахаюллӣ,699760773.0,855327107.1291119,http://www.wikidata.org/entity/Q4917,125.0,2019-01-28T00:00:00Z,1,2019
638,http://www.wikidata.org/entity/Q1122971,The Warriors,action,22490471.0,100139879.92823446,http://www.wikidata.org/entity/Q4917,93.0,1979-02-01T00:00:00Z,2,1979
639,http://www.wikidata.org/entity/Q1693691,The Way of the Gun,heist; action,13200972.0,23382592.148601037,http://www.wikidata.org/entity/Q4917,114.0,2000-09-08T00:00:00Z,9,2000
640,http://www.wikidata.org/entity/Q19057481,The Witch,Horror; горор,40423945.0,52453389.265344076,http://www.wikidata.org/entity/Q4917,93.0,2016-02-19T00:00:00Z,2,2016
641,http://www.wikidata.org/entity/Q111364645,The Witch: Part 2. The Other One,action,23010168.0,23892334.063629095,http://www.wikidata.org/entity/Q4917,137.0,2022-06-15T00:00:00Z,6,2022
642,http://www.wikidata.org/entity/Q197491,The Wolverine,fantasy; action; sci-fi; илмӣ-тахаюллӣ,414800000.0,546336113.6320827,http://www.wikidata.org/entity/Q4917,138.0,2013-07-25T00:00:00Z,7,2013
