"movie","title","genre","gross","inflationAdjustedGross"
"http://dbpedia.org/resource/13_Rue_Madeleine","13, rue Madeleine",,"2750000.0",3025000
"http://dbpedia.org/resource/13_Rue_Madeleine","13 루 마드렌",,"2750000.0",3025000
"http://dbpedia.org/resource/13_Rue_Madeleine","13 Rue Madeleine",,"2750000.0",3025000
"http://dbpedia.org/resource/13_Rue_Madeleine","13 Rue Madeleine",,"2750000.0",3025000
"http://dbpedia.org/resource/13_Rue_Madeleine","Дом 13 по улице Мадлен",,"2750000.0",3025000
"http://dbpedia.org/resource/13_Washington_Square","13 Washington Square",,,0
"http://dbpedia.org/resource/13_Washington_Square","13 Washington Square",,,0
"http://dbpedia.org/resource/13_West_Street","13 West Street",,,0
"http://dbpedia.org/resource/13_West_Street","Lutte sans merci",,,0
"http://dbpedia.org/resource/15_Maiden_Lane","15 Maiden Lane",,,0
"http://dbpedia.org/resource/15_Maiden_Lane","15 Maiden Lane",,,0
"http://dbpedia.org/resource/15_Maiden_Lane","15 Maiden Lane",,,0
"http://dbpedia.org/resource/15_Maiden_Lane","L'ultima partita (film 1936)",,,0
"http://dbpedia.org/resource/15_Maiden_Lane","15 Maiden Lane",,,0
"http://dbpedia.org/resource/1:42.08","1:42.08",,,0
"http://dbpedia.org/resource/1:42.08","1:42.08",,,0
"http://dbpedia.org/resource/1st_Born","1st Born",,,0
"http://dbpedia.org/resource/2-Headed_Shark_Attack","2-Headed Shark Attack",,,0
"http://dbpedia.org/resource/2-Headed_Shark_Attack","2-Headed Shark Attack",,,0
"http://dbpedia.org/resource/2-Headed_Shark_Attack","2-Headed Shark Attack",,,0
"http://dbpedia.org/resource/2-Headed_Shark_Attack","L'Attaque du requin à deux têtes",,,0
"http://dbpedia.org/resource/2-Headed_Shark_Attack","2-Headed Shark Attack",,,0
"http://dbpedia.org/resource/2-Headed_Shark_Attack","더블샤크",,,0
"http://dbpedia.org/resource/2-Headed_Shark_Attack","ダブルヘッド・ジョーズ",,,0
"http://dbpedia.org/resource/2-Headed_Shark_Attack","2-Headed Shark Attack",,,0
"http://dbpedia.org/resource/2-Headed_Shark_Attack","Dwugłowy rekin atakuje",,,0
"http://dbpedia.org/resource/2-Headed_Shark_Attack","Угроза из глубины",,,0
"http://dbpedia.org/resource/20,000_Leagues_Under_the_Sea_(1916_film)","20.000 Meilen unter dem Meer (1916)",,"8000000.0",8800000
"http://dbpedia.org/resource/20,000_Leagues_Under_the_Sea_(1916_film)","20,000 Leagues Under the Sea (1916 film)",,"8000000.0",8800000
"http://dbpedia.org/resource/20,000_Leagues_Under_the_Sea_(1916_film)","20,000 Leagues Under the Sea (film 1916)",,"8000000.0",8800000
"http://dbpedia.org/resource/20,000_Leagues_Under_the_Sea_(1916_film)","Vingt Mille Lieues sous les mers (film, 1916)",,"8000000.0",8800000
"http://dbpedia.org/resource/20,000_Leagues_Under_the_Sea_(1916_film)","Ventimila leghe sotto i mari (film 1916)",,"8000000.0",8800000
"http://dbpedia.org/resource/20,000_Leagues_Under_the_Sea_(1916_film)","해저 2만리 (1916년 영화)",,"8000000.0",8800000
"http://dbpedia.org/resource/20,000_Leagues_Under_the_Sea_(1916_film)","海底六万哩",,"8000000.0",8800000
"http://dbpedia.org/resource/20,000_Leagues_Under_the_Sea_(1916_film)","20,000 Leagues Under the Sea (1916)",,"8000000.0",8800000
"http://dbpedia.org/resource/20,000_Leagues_Under_the_Sea_(1916_film)","20 000 mil podmorskiej żeglugi (film 1916)",,"8000000.0",8800000
"http://dbpedia.org/resource/20,000_Leagues_Under_the_Sea_(1916_film)","20,000 Leagues Under the Sea (1916)",,"8000000.0",8800000
"http://dbpedia.org/resource/20,000_Leagues_Under_the_Sea_(1916_film)","En världsomsegling under havet (1916)",,"8000000.0",8800000
"http://dbpedia.org/resource/20,000_Leagues_Under_the_Sea_(1916_film)","20 000 лье под водой (фильм, 1916)",,"8000000.0",8800000
